[00:02:11] [Server thread/WARN]: gxby_idk moved wrongly!
[00:02:14] [Server thread/WARN]: gxby_idk moved wrongly!
[00:05:15] [Server thread/WARN]: gxby_idk moved wrongly!
[00:05:21] [Server thread/WARN]: messironaldo1235 moved wrongly!
[00:07:56] [Worker-Main-3/WARN]: Empty or non-existent pool: kaisyn:village/exclusives/mediterranean/villager_bishop
[00:08:24] [Worker-Main-2/ERROR]: Hanging entity at invalid position: class_2338{x=-81, y=-56, z=2188}
[00:08:24] [Worker-Main-3/ERROR]: Hanging entity at invalid position: class_2338{x=-80, y=-56, z=2205}
[00:08:24] [Worker-Main-3/ERROR]: Hanging entity at invalid position: class_2338{x=-17, y=-56, z=2192}
[00:08:26] [Server thread/WARN]: gxby_idk moved wrongly!
[00:08:27] [Server thread/WARN]: Mr_albanil moved wrongly!
[00:08:28] [Server thread/WARN]: messironaldo1235 moved wrongly!
[00:09:11] [Server thread/INFO]: gxby_idk has made the advancement [Smashing Success]
[00:09:13] [Server thread/INFO]: messironaldo1235 has made the advancement [Smashing Success]
[00:12:34] [Server thread/INFO]: messironaldo1235 has made the advancement [Ancient Treasure]
[00:13:44] [Worker-Main-1/ERROR]: Hanging entity at invalid position: class_2338{x=-21, y=-58, z=2284}
[00:14:39] [Server thread/WARN]: Warship (vehicle of Mr_albanil) moved too quickly! 58.7086103479005,-2.9802359066450492,8.140041840118101
[00:18:22] [Server thread/WARN]: gxby_idk moved wrongly!
[00:18:28] [Server thread/WARN]: Mr_albanil moved wrongly!
[00:18:29] [Server thread/WARN]: messironaldo1235 moved wrongly!
[00:21:26] [Server thread/INFO]: messironaldo1235 lost connection: Timed out
[00:21:26] [Server thread/INFO]: messironaldo1235 left the game
[00:28:09] [Server thread/INFO]: Matin_colas[/127.86.65.60:45301] logged in with entity id 47990 at (6858.5867415588245, 66.0, -689.5669823207058)
[00:28:09] [Server thread/INFO]: Matin_colas joined the game
[00:28:44] [Server thread/WARN]: Mr_albanil moved wrongly!
[00:29:49] [Server thread/WARN]: Mr_albanil moved wrongly!
[00:30:07] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 18402ms or 368 ticks behind
[00:30:07] [Server thread/WARN]: gxby_idk moved too quickly! -3.715592442884372,0.2522033402537289,-9.410558919390269
[00:30:09] [Server thread/INFO]: Mr_albanil lost connection: Disconnected
[00:30:09] [Server thread/INFO]: Mr_albanil left the game
[00:31:02] [Server thread/INFO]: messironaldo1235[/127.210.49.133:57325] logged in with entity id 49297 at (6814.634504775372, 66.0, -651.2069052953426)
[00:31:02] [Server thread/INFO]: messironaldo1235 joined the game
[00:34:18] [Server thread/WARN]: Matin_colas moved wrongly!
[00:36:33] [Server thread/WARN]: Matin_colas moved too quickly! 0.15782917301839916,-9.904893780457495,2.6942595901543314
[00:39:34] [Server thread/INFO]: Mr_albanil[/127.42.160.211:57157] logged in with entity id 53264 at (6759.957508986215, 68.0, -701.2770970481254)
[00:39:34] [Server thread/INFO]: Mr_albanil joined the game
[00:44:13] [Server thread/WARN]: messironaldo1235 moved wrongly!
[00:44:21] [Server thread/WARN]: messironaldo1235 moved wrongly!
[00:46:06] [Server thread/WARN]: messironaldo1235 moved wrongly!
[00:46:19] [Worker-Main-2/ERROR]: Hanging entity at invalid position: class_2338{x=1307, y=-58, z=78}
[00:46:19] [Worker-Main-3/ERROR]: Hanging entity at invalid position: class_2338{x=1312, y=-58, z=101}
[00:46:19] [Worker-Main-3/ERROR]: Hanging entity at invalid position: class_2338{x=1312, y=-58, z=101}
[00:46:19] [Worker-Main-3/ERROR]: Hanging entity at invalid position: class_2338{x=1312, y=-58, z=103}
